sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format,context
Sal,C17,17,3,NUMBER,6,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General,B15=Ouvriers | C15=1 | D15==+$C$15*D8*$C$10 | E15==+$C$15*E8*$C$10 | B16=Atelier Micas | B17=Manutentionnaires | D17==+$C$17*D8*$C$10 | E17==+$C$17*E8*$C$10 | B18=Nettoyeur | C18=2 | D18==+$C$18*$C$10*D8/2 | E18==+$C$18*$C$10*E8/2 | B19=Securité
Sal,C18,18,3,NUMBER,2,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General,B16=Atelier Micas | B17=Manutentionnaires | C17=6 | D17==+$C$17*D8*$C$10 | E17==+$C$17*E8*$C$10 | B18=Nettoyeur | D18==+$C$18*$C$10*D8/2 | E18==+$C$18*$C$10*E8/2 | B19=Securité | B20=Agents | C20=1 | D20==+$C$20*$C$10*25 | E20==+$C$20*$C$10*25
Sal,C20,20,3,NUMBER,1,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General,B18=Nettoyeur | C18=2 | D18==+$C$18*$C$10*D8/2 | E18==+$C$18*$C$10*E8/2 | B19=Securité | B20=Agents | D20==+$C$20*$C$10*25 | E20==+$C$20*$C$10*25 | B21=Villa B.A. | B22=Agent de maison | C22=1 | D22==+$C$22*$C$10*25 | E22==+$C$22*$C$10*25
Sal,C22,22,3,NUMBER,1,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General,B20=Agents | C20=1 | D20==+$C$20*$C$10*25 | E20==+$C$20*$C$10*25 | B21=Villa B.A. | B22=Agent de maison | D22==+$C$22*$C$10*25 | E22==+$C$22*$C$10*25 | B23=Jardinier | C23=1 | D23==+$C$23*$C$10*25 | E23==+$C$23*$C$10*25 | A24=TOTAL  TEMPORAIRES | C24==SUM(C15:C23) | D24==SUM(D15:D23) | E24==SUM(E15:E23)
Sal,C23,23,3,NUMBER,1,CANDIDATE_PARAMETER,HIGH,12,Constante numérique utilisée par 12 formule(s),General,B21=Villa B.A. | B22=Agent de maison | C22=1 | D22==+$C$22*$C$10*25 | E22==+$C$22*$C$10*25 | B23=Jardinier | D23==+$C$23*$C$10*25 | E23==+$C$23*$C$10*25 | A24=TOTAL  TEMPORAIRES | C24==SUM(C15:C23) | D24==SUM(D15:D23) | E24==SUM(E15:E23) | A25=TOTAL  CH SOCIALES  TEMP | C25==+C24 | D25==+D24*1% | E25==+E24*1%
CR Nature FD,O39,39,15,NUMBER,14717915203.511246,CANDIDATE_PARAMETER,HIGH,10,Constante numérique utilisée par 10 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",O37==+O36/O10 | M38==+M2 | N38==+N2 | O38==+O2 | M39=1198187560.4680853 | N39=1203130399.8699088 | P39==+O39-O10 | M41==+SUM(M42:M47) | N41==+SUM(N42:N47) | O41==+SUM(O42:O47)
Org,K133,133,11,NUMBER,500,CANDIDATE_PARAMETER,HIGH,10,Constante numérique utilisée par 10 formule(s),General,L133==+$K$133*(1+L122) | K134==+K133*2.5 | K135==+K133*1.5
Org (2),K241,241,11,NUMBER,500,CANDIDATE_PARAMETER,HIGH,10,Constante numérique utilisée par 10 formule(s),General,L241==+$K$241*(1+L230) | K242==+K241*2.5 | K243==+K241*1.5
Données SOMIDA,F48,48,6,NUMBER,22.5,CANDIDATE_PARAMETER,HIGH,7,Constante numérique utilisée par 7 formule(s),"#,##0.00","D48==+E48*12 | E48==+F48*25 | G48=Tonnes | D49==+E49*12 | E49==+F49*25 | F49==ROUND(+G49*F48,1) | G49==+Production!R23 | D50==+E50*12 | E50==+F50*25 | F50==+F48-F49 | G50==+Production!R30"
Org,J113,113,10,NUMBER,281250,CANDIDATE_PARAMETER,HIGH,6,Constante numérique utilisée par 6 formule(s),"#,##0",J111=0.5 | L111=0.6 | J112=1875000 | L112=2250000 | L113=337500 | J114=2812500 | L114=3375000 | J115=3750000 | L115=4500000
AN,E73,73,5,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",C71==+C64 | D71==+D64 | E71==+E64 | F71==+F64 | G71==+G64 | D72==+C76 | E72==+D76 | F72==+E76 | G72==+F76 | D73==-'Invest FD'!C10/1000 | F73==-'Invest FD'!E10/1000 | G73==-'Invest FD'!F10/1000 | D74==-D73 | E74==-E73 | F74==-F73 | G74==-G73 | D75=0 | E75==-E72
AN,J74,74,10,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",H72==+G76 | I72==+H76 | J72==+I76 | K72==+J76 | L72==+K76 | H73==-'Invest FD'!G10/1000 | I73==-'Invest FD'!H10/1000 | J73=0 | K73==-'Invest FD'!D10/1000 | L73==-'Invest FD'!K10/1000 | H74==-H73 | I74==-I73 | K74==-K73 | L74==-L73 | J75=0 | K75=0 | L75=0 | H76==+H72+H73+H74+H75 | I76==+I72+I73+I74+I75 | J76==+J72+J73+J74+J75 | K76==+K72+K73+K74+K75 | L76==+L72+L73+L74+L75
AN,D75,75,4,NUMBER,0,CANDIDATE_PARAMETER,HIGH,5,Constante numérique utilisée par 5 formule(s),"#,##0.00_ ;[Red]\-#,##0.00\ ",B73=Achats | D73==-'Invest FD'!C10/1000 | E73=0 | F73==-'Invest FD'!E10/1000 | B74=Paiements au comptant | D74==-D73 | E74==-E73 | F74==-F73 | B75=Paiements à échéances | E75==-E72 | B76=Fin | C76==+C23 | D76==+D72+D73+D74+D75 | E76==+E72+E73+E74+E75 | F76==+F72+F73+F74+F75
