rule_id,sheet,family,occurrences,pattern,example_cell,example_formula,business_name,business_description,python_function,status
RULE_0487,Commande à honorer,AGGREGATION,2,"=SUMIF(LOCAL_RANGE,""LOCAL_CELL"",LOCAL_RANGE)",E21,"=SUMIF(D3:D16,""FP1"",E3:E16)",,,,TO_REVIEW
RULE_0488,Commande à honorer,AGGREGATION,2,"=SUMIF(LOCAL_RANGE,""SFP"",LOCAL_RANGE)",E22,"=SUMIF(D3:D16,""S FP"",E3:E16)",,,,TO_REVIEW
RULE_0489,Détails,MULTIPLICATION,2,=LOCAL_CELL*2,J36,=+I36*2,,,,TO_REVIEW
RULE_0490,Détails,MULTIPLICATION,2,=LOCAL_CELL*0.7,D44,=+C44*0.7,,,,TO_REVIEW
RULE_0491,Détails,MULTIPLICATION,2,=LOCAL_CELL*0.45,C86,=+C85*0.45,,,,TO_REVIEW
RULE_0492,Détails,DIVISION,2,=LOCAL_CELL/12,D100,=+C100/12,,,,TO_REVIEW
RULE_0493,Production,MULTIPLICATION,2,=0.05*4000,W39,=0.05*4000,,,,TO_REVIEW
RULE_0494,Production,BROKEN_REFERENCE,2,"=IF((CA!#REF!REF[-PRODUCTION])>0,ROUNDUP((CA!#REF!REF[-PRODUCTION]),2)&""""&""BÉNÉF"",ROUNDUP((CA!#REF!REF[-PRODUCTION]),2)&""""&""PERTES"")",U42,"=+IF((CA!#REF!-Production!T42)>0,ROUNDUP((CA!#REF!-Production!T42),2)&"" ""&""Bénéf"",ROUNDUP((CA!#REF!-Production!T42),2)&"" ""&""Pertes"")",,,,INVALID
RULE_0495,Besoins en micas,LOCAL_REFERENCE,2,<OPENPYXL.WORKSHEET.FORMULA.ARRAYFORMULAOBJECTAT0LOCAL_CELLCDLOCAL_CELLLOCAL_CELL>,B142,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDDDC7F50>,,,,TO_REVIEW
RULE_0496,Besoins en micas,LOCAL_REFERENCE,2,<OPENPYXL.WORKSHEET.FORMULA.ARRAYFORMULAOBJECTAT0LOCAL_CELLCDLOCAL_CELL>,F142,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDDDC7910>,,,,TO_REVIEW
RULE_0497,Besoins en micas,ARITHMETIC,2,=LOCAL_CELL-LOCAL_CELL,F251,=+F250-O17,,,,TO_REVIEW
RULE_0498,Feuil3,ARITHMETIC,2,=LOCAL_CELL-LOCAL_CELL,P76,=+P61-P70,,,,TO_REVIEW
RULE_0499,Détails Achats direct,MULTIPLICATION,2,=LOCAL_CELL*1.2,F18,=+D18*1.2,,,,TO_REVIEW
RULE_0500,Primes,CROSS_SHEET_REFERENCE,2,"=REF[ORG]&""EQUIPE=""&LOCAL_CELL",D61,"=+Org!M62&"" Equipe = ""&F16",,,,TO_REVIEW
RULE_0501,CR Nature FD,AGGREGATION,2,"=ROUNDUP(IF((+LOCAL_CELL-SUM(LOCAL_RANGE)-SUM(LOCAL_RANGE))<0,LOCAL_CELL*5/1000+320000,(+LOCAL_CELL-SUM(LOCAL_RANGE)-SUM(LOCAL_RANGE))*0.2),-3)",N28,"=ROUNDUP(IF((+O39-SUM(O42:O46)-SUM(O51:O57))<0,O39*5/1000+320000,(+O39-SUM(O42:O46)-SUM(O51:O57))*0.2),-3)",,,,TO_REVIEW
RULE_0502,Invest FD,MULTIPLICATION,2,=LOCAL_CELL*0.25/12,C17,=+C7*0.25/12,,,,TO_REVIEW
RULE_0503,AN,ARITHMETIC,2,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,C158,=+C156+C150+C143+C136+C122+C116+C109+C103+C97+C91+C85+C83+C76+C69,,,,TO_REVIEW
RULE_0504,AN,ARITHMETIC,2,=LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL+LOCAL_CELL,C215,=+C213+C207+C205+C199+C193+C187+C181+C175+C169,,,,TO_REVIEW
RULE_0505,AN,LOCAL_REFERENCE,2,"=""TOTAL""&LOCAL_CELL",B249,"=""TOTAL   ""&B234",,,,TO_REVIEW
RULE_0506,Détails FF FD,LOCAL_REFERENCE,2,<OPENPYXL.WORKSHEET.FORMULA.ARRAYFORMULAOBJECTAT0LOCAL_CELLLOCAL_CELLLOCAL_CELLLOCAL_CELL>,C5,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000026CDE7D3D50>,,,,TO_REVIEW
RULE_0507,Détails FF FD,CROSS_SHEET_REFERENCE,2,=LOCAL_CELL-REF[EMPRUNTSFD],P7,=+O7-'Emprunts FD'!G110,,,,TO_REVIEW
RULE_0508,FORT DAUPHIN,DIVISION,1,=4200/30,B2,=4200/30,,,,TO_REVIEW
RULE_0509,FORT DAUPHIN,AGGREGATION,1,"=SUBTOTAL(3,LOCAL_RANGE)",D5,"=SUBTOTAL(3,D7:D135)",,,,TO_REVIEW
RULE_0510,FORT DAUPHIN,OTHER,1,"=""MATRICULE""",A6,"=""Matricule""",,,,TO_REVIEW
RULE_0511,FORT DAUPHIN,OTHER,1,"=""NOM""",B6,"=""NOM""",,,,TO_REVIEW
RULE_0512,FORT DAUPHIN,OTHER,1,"=""PRENOMS""",C6,"=""PRENOMS""",,,,TO_REVIEW
RULE_0513,FORT DAUPHIN,OTHER,1,"=""FONCTION""",D6,"=""FONCTION""",,,,TO_REVIEW
RULE_0514,FORT DAUPHIN,OTHER,1,"=""ENTREE""",E6,"=""entree""",,,,TO_REVIEW
RULE_0515,FORT DAUPHIN,OTHER,1,"=""CAT""",F6,"=""CAT""",,,,TO_REVIEW
RULE_0516,FORT DAUPHIN,OTHER,1,"=""BASE""",G6,"=""Base""",,,,TO_REVIEW
RULE_0517,FORT DAUPHIN,OTHER,1,"=""ALLOCATIONDECONGES""",H6,"=""ALLOCATION DE CONGES""",,,,TO_REVIEW
RULE_0518,FORT DAUPHIN,OTHER,1,"=""HEURESSUPP""",I6,"=""HEURES SUPP""",,,,TO_REVIEW
RULE_0519,FORT DAUPHIN,OTHER,1,"=""NBRES""",J6,"=""NBRES""",,,,TO_REVIEW
RULE_0520,FORT DAUPHIN,OTHER,1,"=""ABSENCE""",K6,"=""ABSENCE""",,,,TO_REVIEW
RULE_0521,FORT DAUPHIN,OTHER,1,"=""PREAVIS(RETENUE)""",L6,"=""PREAVIS (retenue)""",,,,TO_REVIEW
RULE_0522,FORT DAUPHIN,OTHER,1,"=""INDEMNITE""",M6,"=""INDEMNITE""",,,,TO_REVIEW
RULE_0523,FORT DAUPHIN,OTHER,1,"=""BRUT""",N6,"=""BRUT""",,,,TO_REVIEW
RULE_0524,FORT DAUPHIN,OTHER,1,"=""IRSA""",O6,"=""IRSA""",,,,TO_REVIEW
RULE_0525,FORT DAUPHIN,OTHER,1,"=""RETCNAPS""",P6,"=""RET CNAPS""",,,,TO_REVIEW
RULE_0526,FORT DAUPHIN,OTHER,1,"=""RETOSTIE""",Q6,"=""RET OSTIE""",,,,TO_REVIEW
RULE_0527,FORT DAUPHIN,OTHER,1,"=""AVANCES""",R6,"=""AVANCES""",,,,TO_REVIEW
RULE_0528,FORT DAUPHIN,OTHER,1,"=""ANCARR""",S6,"=""ANC ARR""",,,,TO_REVIEW
RULE_0529,FORT DAUPHIN,OTHER,1,"=""NOUVARR""",T6,"=""NOUV ARR""",,,,TO_REVIEW
RULE_0530,FORT DAUPHIN,OTHER,1,"=""NETAPAYER""",U6,"=""NET A PAYER""",,,,TO_REVIEW
RULE_0531,FORT DAUPHIN,OTHER,1,"=""UNITE""",V6,"=""UNITE""",,,,TO_REVIEW
RULE_0532,FORT DAUPHIN,OTHER,1,"=""SERVICE""",W6,"=""SERVICE""",,,,TO_REVIEW
RULE_0533,FORT DAUPHIN,OTHER,1,"=""INTITULÉÉTABLISSEMENT""",X6,"=""Intitulé établissement""",,,,TO_REVIEW
RULE_0534,FORT DAUPHIN,OTHER,1,"=""MODEDEPAIEMENT""",Y6,"=""MODE DE PAIEMENT""",,,,TO_REVIEW
RULE_0535,FORT DAUPHIN,OTHER,1,=COUNTA(LOCAL_RANGE),I247,=COUNTA(I218:I244),,,,TO_REVIEW
RULE_0536,FORT DAUPHIN,CROSS_SHEET_REFERENCE,1,=REF[RECAPCOUPEUSESFD],C248,=+'Recap coupeuses FD'!M11,,,,TO_REVIEW
RULE_0537,Données SOMIDA,MULTIPLICATION,1,"=ROUND(LOCAL_CELL*LOCAL_CELL,1)",L20,"=+ROUND(L60*D59,1)",,,,TO_REVIEW
