business_code,business_name,category,unit,sheet,cell,value_2024,technical_classification,used_by_formulas,status,context
,,,,Sal,C23,1,CANDIDATE_PARAMETER,12,TO_REVIEW,B21=Villa B.A. | B22=Agent de maison | C22=1 | D22==+$C$22*$C$10*25 | E22==+$C$22*$C$10*25 | B23=Jardinier | D23==+$C$23*$C$10*25 | E23==+$C$23*$C$10*25 | A24=TOTAL  TEMPORAIRES | C24==SUM(C15:C23) | D24==SUM(D15:D23) | E24==SUM(E15:E23) | A25=TOTAL  CH SOCIALES  TEMP | C25==+C24 | D25==+D24*1% | E25==+E24*1%
,,,,CR Nature FD,O39,14717915203.511246,CANDIDATE_PARAMETER,10,TO_REVIEW,O37==+O36/O10 | M38==+M2 | N38==+N2 | O38==+O2 | M39=1198187560.4680853 | N39=1203130399.8699088 | P39==+O39-O10 | M41==+SUM(M42:M47) | N41==+SUM(N42:N47) | O41==+SUM(O42:O47)
,,,,Org,K133,500,CANDIDATE_PARAMETER,10,TO_REVIEW,L133==+$K$133*(1+L122) | K134==+K133*2.5 | K135==+K133*1.5
,,,,Org (2),K241,500,CANDIDATE_PARAMETER,10,TO_REVIEW,L241==+$K$241*(1+L230) | K242==+K241*2.5 | K243==+K241*1.5
,,,,Données SOMIDA,F48,22.5,CANDIDATE_PARAMETER,7,TO_REVIEW,"D48==+E48*12 | E48==+F48*25 | G48=Tonnes | D49==+E49*12 | E49==+F49*25 | F49==ROUND(+G49*F48,1) | G49==+Production!R23 | D50==+E50*12 | E50==+F50*25 | F50==+F48-F49 | G50==+Production!R30"
,,,,Org,J113,281250,CANDIDATE_PARAMETER,6,TO_REVIEW,J111=0.5 | L111=0.6 | J112=1875000 | L112=2250000 | L113=337500 | J114=2812500 | L114=3375000 | J115=3750000 | L115=4500000
,,,,AN,D102,0,CANDIDATE_PARAMETER,5,TO_REVIEW,B100=Début | D100==+C103 | E100==+D103 | F100==+E103 | B101=AMIT | D101=0 | E101=0 | F101=0 | B102=Paiements | E102=0 | F102=0 | B103=Fin | C103==+C28 | D103==+D100+D101+D102 | E103==+E100+E101+E102 | F103==+F100+F101+F102
,,,,AN,D75,0,CANDIDATE_PARAMETER,5,TO_REVIEW,B73=Achats | D73==-'Invest FD'!C10/1000 | E73=0 | F73==-'Invest FD'!E10/1000 | B74=Paiements au comptant | D74==-D73 | E74==-E73 | F74==-F73 | B75=Paiements à échéances | E75==-E72 | B76=Fin | C76==+C23 | D76==+D72+D73+D74+D75 | E76==+E72+E73+E74+E75 | F76==+F72+F73+F74+F75
,,,,AN,D96,0,CANDIDATE_PARAMETER,5,TO_REVIEW,B94=Début | D94==+C97 | E94==+D97 | F94==+E97 | B95=CNaPS | D95==(Sal!D178+Sal!D179)/1000 | E95==(Sal!E178+Sal!E179)/1000 | F95==(Sal!F178+Sal!F179)/1000 | B96=Paiements | E96=0 | F96=0 | B97=Fin | C97==+C27 | D97==+D94+D95+D96 | E97==+E94+E95+E96 | F97==+F94+F95+F96
,,,,AN,E102,0,CANDIDATE_PARAMETER,5,TO_REVIEW,D100==+C103 | E100==+D103 | F100==+E103 | G100==+F103 | D101=0 | E101=0 | F101=0 | G101=0 | D102=0 | F102=0 | G102=0 | C103==+C28 | D103==+D100+D101+D102 | E103==+E100+E101+E102 | F103==+F100+F101+F102 | G103==+G100+G101+G102
,,,,AN,E73,0,CANDIDATE_PARAMETER,5,TO_REVIEW,C71==+C64 | D71==+D64 | E71==+E64 | F71==+F64 | G71==+G64 | D72==+C76 | E72==+D76 | F72==+E76 | G72==+F76 | D73==-'Invest FD'!C10/1000 | F73==-'Invest FD'!E10/1000 | G73==-'Invest FD'!F10/1000 | D74==-D73 | E74==-E73 | F74==-F73 | G74==-G73 | D75=0 | E75==-E72
,,,,AN,E96,0,CANDIDATE_PARAMETER,5,TO_REVIEW,D94==+C97 | E94==+D97 | F94==+E97 | G94==+F97 | D95==(Sal!D178+Sal!D179)/1000 | E95==(Sal!E178+Sal!E179)/1000 | F95==(Sal!F178+Sal!F179)/1000 | G95==(Sal!G178+Sal!G179)/1000 | D96=0 | F96=0 | G96==-SUM(D95:F95) | C97==+C27 | D97==+D94+D95+D96 | E97==+E94+E95+E96 | F97==+F94+F95+F96 | G97==+G94+G95+G96
,,,,AN,F102,0,CANDIDATE_PARAMETER,5,TO_REVIEW,D100==+C103 | E100==+D103 | F100==+E103 | G100==+F103 | H100==+G103 | D101=0 | E101=0 | F101=0 | G101=0 | H101=0 | D102=0 | E102=0 | G102=0 | H102=0 | D103==+D100+D101+D102 | E103==+E100+E101+E102 | F103==+F100+F101+F102 | G103==+G100+G101+G102 | H103==+H100+H101+H102
,,,,AN,F96,0,CANDIDATE_PARAMETER,5,TO_REVIEW,D94==+C97 | E94==+D97 | F94==+E97 | G94==+F97 | H94==+G97 | D95==(Sal!D178+Sal!D179)/1000 | E95==(Sal!E178+Sal!E179)/1000 | F95==(Sal!F178+Sal!F179)/1000 | G95==(Sal!G178+Sal!G179)/1000 | H95==(Sal!H178+Sal!H179)/1000 | D96=0 | E96=0 | G96==-SUM(D95:F95) | H96=0 | D97==+D94+D95+D96 | E97==+E94+E95+E96 | F97==+F94+F95+F96 | G97==+G94+G95+G96 | H97==+H94+H95+H96
,,,,AN,G102,0,CANDIDATE_PARAMETER,5,TO_REVIEW,E100==+D103 | F100==+E103 | G100==+F103 | H100==+G103 | I100==+H103 | E101=0 | F101=0 | G101=0 | H101=0 | I101=0 | E102=0 | F102=0 | H102=0 | I102=0 | E103==+E100+E101+E102 | F103==+F100+F101+F102 | G103==+G100+G101+G102 | H103==+H100+H101+H102 | I103==+I100+I101+I102
