sheet,cell,row,column,technical_type,value,classification,confidence,used_by_formulas,reason,number_format
FORT DAUPHIN,S9,9,19,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,T9,9,20,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,U9,9,21,NUMBER,115000,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,V9,9,22,TEXT,JOURNALIER,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,W9,9,23,TEXT,TRANOMARO,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,X9,9,24,TEXT,SOMIDA TRA,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,Y9,9,25,TEXT,Espèces,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,Z9,9,26,FORMULA,=+N9/J9,CALCULATED,HIGH,0,Cellule contenant une formule Excel,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,A10,10,1,NUMBER,100265,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,General
FORT DAUPHIN,B10,10,2,TEXT,RAHERINIAINA,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,C10,10,3,TEXT,Jochristia,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,D10,10,4,TEXT,MANUTENTIONNAIRE,LABEL,MEDIUM,0,Constante textuelle,General
FORT DAUPHIN,E10,10,5,OTHER,2017-04-25 00:00:00,UNKNOWN,LOW,0,Type technique : OTHER,mm-dd-yy
FORT DAUPHIN,G10,10,7,NUMBER,117000,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,H10,10,8,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,I10,10,9,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,J10,10,10,NUMBER,39,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,K10,10,11,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,L10,10,12,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,M10,10,13,NUMBER,0,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,N10,10,14,NUMBER,117000,CANDIDATE_PARAMETER,HIGH,1,Constante numérique utilisée par 1 formule(s),"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
FORT DAUPHIN,O10,10,15,NUMBER,2000,CANDIDATE_INPUT,MEDIUM,0,Constante numérique non calculée ; validation métier nécessaire,"_-* #,##0.00\ _€_-;\-* #,##0.00\ _€_-;_-* ""-""??\ _€_-;_-@_-"
